intersection_id,display_name,latitude,longitude,osm_node_id,source
osm-10782329340,Semáforo 10782329340,-27.105167,-52.600046,10782329340,osm
osm-10914509192,Semáforo 10914509192,-27.10485,-52.600173,10914509192,osm
osm-10915187624,Semáforo 10915187624,-27.09275,-52.605024,10915187624,osm
osm-10915187625,Semáforo 10915187625,-27.092654,-52.605047,10915187625,osm
osm-13235319791,Semáforo 13235319791,-27.096177,-52.667703,13235319791,osm
osm-13235319792,Semáforo 13235319792,-27.096189,-52.667593,13235319792,osm
osm-13653642974,Semáforo 13653642974,-27.096249,-52.667726,13653642974,osm
osm-1551971571,Semáforo 1551971571,-27.088524,-52.616756,1551971571,osm
osm-1576561124,Semáforo 1576561124,-27.097497,-52.602203,1576561124,osm
osm-1794818164,Semáforo 1794818164,-27.105215,-52.616236,1794818164,osm
osm-1794870732,Semáforo 1794870732,-27.09041,-52.620338,1794870732,osm
osm-1795604211,Semáforo 1795604211,-27.118921,-52.616849,1795604211,osm
osm-1796017953,Semáforo 1796017953,-27.093918,-52.62575,1796017953,osm
osm-1796032445,Semáforo 1796032445,-27.088369,-52.614828,1796032445,osm
osm-1796268884,Semáforo 1796268884,-27.110224,-52.6244,1796268884,osm
osm-1797043257,Semáforo 1797043257,-27.105814,-52.604368,1797043257,osm
osm-1797419409,Semáforo 1797419409,-27.091016,-52.614515,1797419409,osm
osm-1797522157,Semáforo 1797522157,-27.093666,-52.615327,1797522157,osm
osm-1798279172,Semáforo 1798279172,-27.108669,-52.611176,1798279172,osm
osm-1801147549,Semáforo 1801147549,-27.096461,-52.621838,1801147549,osm
osm-1804259034,Semáforo 1804259034,-27.107854,-52.613622,1804259034,osm
osm-1804259059,Semáforo 1804259059,-27.10725,-52.611564,1804259059,osm
osm-1804259077,Semáforo 1804259077,-27.107861,-52.613345,1804259077,osm
osm-1812964394,Semáforo 1812964394,-27.08903,-52.606026,1812964394,osm
osm-1812964407,Semáforo 1812964407,-27.09782,-52.603588,1812964407,osm
osm-1812964438,Semáforo 1812964438,-27.10519,-52.601535,1812964438,osm
osm-1925320476,Semáforo 1925320476,-27.102415,-52.612897,1925320476,osm
osm-1925320481,Semáforo 1925320481,-27.104214,-52.612399,1925320481,osm
osm-1925320483,Semáforo 1925320483,-27.104381,-52.612429,1925320483,osm
osm-1925320491,Semáforo 1925320491,-27.107404,-52.611591,1925320491,osm
osm-1955252880,Semáforo 1955252880,-27.078449,-52.621803,1955252880,osm
osm-1955252919,Semáforo 1955252919,-27.100338,-52.615618,1955252919,osm
osm-1955915856,Semáforo 1955915856,-27.100513,-52.615411,1955915856,osm
osm-1957289528,Semáforo 1957289528,-27.101616,-52.61526,1957289528,osm
osm-1957289535,Semáforo 1957289535,-27.101756,-52.615305,1957289535,osm
osm-1957289541,Semáforo 1957289541,-27.101786,-52.615039,1957289541,osm
osm-1957289562,Semáforo 1957289562,-27.102874,-52.614914,1957289562,osm
osm-1957289566,Semáforo 1957289566,-27.103023,-52.614953,1957289566,osm
osm-1957289570,Semáforo 1957289570,-27.103048,-52.614698,1957289570,osm
osm-1958573546,Semáforo 1958573546,-27.090426,-52.62041,1958573546,osm
osm-1958573579,Semáforo 1958573579,-27.103427,-52.616804,1958573579,osm
osm-1959065209,Semáforo 1959065209,-27.078329,-52.621556,1959065209,osm
osm-1959065219,Semáforo 1959065219,-27.078355,-52.621715,1959065219,osm
osm-1959065221,Semáforo 1959065221,-27.078459,-52.621395,1959065221,osm
osm-1959065224,Semáforo 1959065224,-27.078561,-52.621491,1959065224,osm
osm-1959065226,Semáforo 1959065226,-27.07859,-52.62165,1959065226,osm
osm-1959065441,Semáforo 1959065441,-27.102882,-52.61466,1959065441,osm
osm-1959065454,Semáforo 1959065454,-27.103336,-52.616722,1959065454,osm
osm-1959065456,Semáforo 1959065456,-27.103358,-52.616823,1959065456,osm
osm-2004998509,Semáforo 2004998509,-27.093028,-52.622723,2004998509,osm
osm-2004998605,Semáforo 2004998605,-27.118864,-52.616934,2004998605,osm
osm-2036930619,Semáforo 2036930619,-27.088504,-52.616661,2036930619,osm
osm-2036930625,Semáforo 2036930625,-27.093647,-52.615238,2036930625,osm
osm-2036930637,Semáforo 2036930637,-27.104384,-52.612234,2036930637,osm
osm-2038072297,Semáforo 2038072297,-27.094786,-52.615016,2038072297,osm
osm-2038072299,Semáforo 2038072299,-27.094843,-52.614833,2038072299,osm
osm-2038072306,Semáforo 2038072306,-27.094959,-52.615051,2038072306,osm
osm-2038072307,Semáforo 2038072307,-27.094973,-52.614866,2038072307,osm
osm-2038072323,Semáforo 2038072323,-27.096309,-52.621822,2038072323,osm
osm-2038072325,Semáforo 2038072325,-27.096328,-52.621625,2038072325,osm
